Size;Ordered;Reordered;Random;Saw;Sinus;Step;Quasi
500000;700;669;15076;905;23918;14397;12948
1000000;1414;1398;22199;1737;42283;21742;20830
1500000;1925;1798;30877;2576;64050;32768;31486
2000000;2359;2378;40953;3409;82751;43099;41688
2500000;3041;2922;50913;4276;105305;54094;51614
3000000;3526;4106;61584;5124;124685;65792;62736
3500000;4088;4144;71389;5928;144380;75016;71934
4000000;6248;4752;81387;6765;166681;86108;81848
4500000;5328;5368;92292;7621;187030;96480;92277
5000000;7919;5937;101596;8471;209378;107217;102944
