float numbers;ordered;reodered;random;saw;sinusoidal;step;quasi ordered
500000;0:00:00.037994;0:00:00.039002;0:00:00.078982;0:00:00.041020;0:00:00.079188;0:00:00.068006;0:00:00.081997
1000000;0:00:00.077975;0:00:00.080007;0:00:00.157010;0:00:00.083998;0:00:00.156986;0:00:00.137999;0:00:00.164028
1500000;0:00:00.116980;0:00:00.118688;0:00:00.237999;0:00:00.126009;0:00:00.240010;0:00:00.205011;0:00:00.248010
2000000;0:00:00.157022;0:00:00.161710;0:00:00.319994;0:00:00.169010;0:00:00.323010;0:00:00.275010;0:00:00.331010
2500000;0:00:00.195000;0:00:00.201010;0:00:00.399980;0:00:00.215009;0:00:00.405991;0:00:00.345009;0:00:00.412629
3000000;0:00:00.236997;0:00:00.239998;0:00:00.475009;0:00:00.255976;0:00:00.473510;0:00:00.424528;0:00:00.509000
3500000;0:00:00.283508;0:00:00.291993;0:00:00.571998;0:00:00.309000;0:00:00.556086;0:00:00.500991;0:00:00.596015
4000000;0:00:00.321991;0:00:00.329023;0:00:00.655010;0:00:00.351010;0:00:00.660009;0:00:00.569008;0:00:00.679989
4500000;0:00:00.357001;0:00:00.364999;0:00:00.723999;0:00:00.386000;0:00:00.709995;0:00:00.626000;0:00:00.747583
5000000;0:00:00.400020;0:00:00.404447;0:00:00.804219;0:00:00.433000;0:00:00.774022;0:00:00.694000;0:00:00.836020
