int numbers;ordered;reodered;random;saw;sinusoidal;step;quasi ordered
500000;0:00:00.018960;0:00:00.020006;0:00:00.172000;0:00:00.038000;0:00:00.081010;0:00:01.193004;0:00:01.205017
1000000;0:00:00.041020;0:00:00.040995;0:00:00.342988;0:00:00.079005;0:00:00.159210;0:00:02.324236;0:00:02.493248
1500000;0:00:00.060988;0:00:00.060020;0:00:00.522449;0:00:00.114011;0:00:00.246987;0:00:03.521981;0:00:03.615736
2000000;0:00:00.081013;0:00:00.080998;0:00:00.684005;0:00:00.156028;0:00:00.328010;0:00:04.691089;0:00:04.912599
2500000;0:00:00.127986;0:00:00.137000;0:00:00.910996;0:00:00.205012;0:00:00.422017;0:00:05.847645;0:00:06.019271
3000000;0:00:00.127652;0:00:00.129978;0:00:01.022001;0:00:00.240011;0:00:00.490000;0:00:07.064996;0:00:07.187151
3500000;0:00:00.171006;0:00:00.161005;0:00:01.234015;0:00:00.268998;0:00:00.567009;0:00:08.123131;0:00:08.418098
4000000;0:00:00.164281;0:00:00.165018;0:00:01.364271;0:00:00.313999;0:00:00.628981;0:00:09.309944;0:00:09.586570
4500000;0:00:00.190000;0:00:00.191998;0:00:01.581865;0:00:00.354013;0:00:00.730616;0:00:10.519516;0:00:10.802905
5000000;0:00:00.217989;0:00:00.215000;0:00:01.728406;0:00:00.388992;0:00:00.814637;0:00:11.568438;0:00:11.967639
