Algorithm;SequenceType;Size;Time(us);Comparisons;Operations
InsertionSort;ordered;5000;29;9998;19996
QuickSort;ordered;5000;129;54496;68072
CountingSort;ordered;5000;85;9998;32003
Qsort;ordered;5000;143;57891;0
InsertionSort;reordered;5000;51225;24995000;37507497
QuickSort;reordered;5000;145;54505;78075
CountingSort;reordered;5000;65;4999;32003
Qsort;reordered;5000;156;57891;0
InsertionSort;random;5000;25664;12460492;18695757
QuickSort;random;5000;450;83028;150330
CountingSort;random;5000;86;5012;27025
Qsort;random;5000;563;69791;0
InsertionSort;quasi;5000;5426;2613826;3925742
QuickSort;quasi;5000;419;83145;141365
CountingSort;quasi;5000;140;5112;31940
Qsort;quasi;5000;511;70905;0
InsertionSort;ordered;10000;59;19998;39996
QuickSort;ordered;10000;284;118985;146145
CountingSort;ordered;10000;129;19998;62003
Qsort;ordered;10000;314;125780;0
InsertionSort;reordered;10000;205263;99990000;150014997
QuickSort;reordered;10000;304;118995;166149
CountingSort;reordered;10000;125;9999;62003
Qsort;reordered;10000;328;125780;0
InsertionSort;random;10000;103419;50473802;75720714
QuickSort;random;10000;952;180675;323501
CountingSort;random;10000;137;10009;52019
Qsort;random;10000;1185;153802;0
InsertionSort;quasi;10000;11144;5458702;8198052
QuickSort;quasi;10000;854;176415;294394
CountingSort;quasi;10000;249;10228;62154
Qsort;quasi;10000;1067;151217;0
InsertionSort;ordered;15000;89;29998;59996
QuickSort;ordered;15000;433;178985;216145
CountingSort;ordered;15000;209;29998;92003
Qsort;ordered;15000;510;201768;0
InsertionSort;reordered;15000;458735;224985000;337522497
QuickSort;reordered;15000;451;178995;246149
CountingSort;reordered;15000;196;14999;92003
Qsort;reordered;15000;535;201768;0
InsertionSort;random;15000;229231;111497048;167260591
QuickSort;random;15000;1511;284356;506349
CountingSort;random;15000;211;15010;77024
Qsort;random;15000;1869;247481;0
InsertionSort;quasi;15000;17102;8348876;12538319
QuickSort;quasi;15000;1292;273530;450283
CountingSort;quasi;15000;378;15355;92137
Qsort;quasi;15000;1596;231210;0
InsertionSort;ordered;20000;118;39998;79996
QuickSort;ordered;20000;636;257962;312290
CountingSort;ordered;20000;237;39998;122003
Qsort;ordered;20000;681;271557;0
InsertionSort;reordered;20000;817019;399980000;600029997
QuickSort;reordered;20000;659;257973;352295
CountingSort;reordered;20000;231;19999;122003
Qsort;reordered;20000;700;271557;0
InsertionSort;random;20000;410771;200490298;300755466
QuickSort;random;20000;2080;377605;685584
CountingSort;random;20000;227;20011;102025
Qsort;random;20000;2531;325059;0
InsertionSort;quasi;20000;23008;11257660;16906489
QuickSort;quasi;20000;1754;373090;609846
CountingSort;quasi;20000;466;20463;122403
Qsort;quasi;20000;2169;321301;0
InsertionSort;ordered;25000;148;49998;99996
QuickSort;ordered;25000;756;322962;387290
CountingSort;ordered;25000;307;49998;152003
Qsort;ordered;25000;838;347192;0
InsertionSort;reordered;25000;1302882;624975000;937537497
QuickSort;reordered;25000;989;322973;437295
CountingSort;reordered;25000;333;24999;152003
Qsort;reordered;25000;1126;347192;0
InsertionSort;random;25000;682146;313852892;470804357
QuickSort;random;25000;2714;487738;879597
CountingSort;random;25000;287;25004;127018
Qsort;random;25000;3326;417193;0
InsertionSort;quasi;25000;29442;14090166;21160250
QuickSort;quasi;25000;2241;479677;773865
CountingSort;quasi;25000;625;25570;152509
Qsort;quasi;25000;2786;410611;0
InsertionSort;ordered;30000;182;59998;119996
QuickSort;ordered;30000;933;387962;462290
CountingSort;ordered;30000;358;59998;182003
Qsort;ordered;30000;1121;433521;0
InsertionSort;reordered;30000;1866090;899970000;1350044997
QuickSort;reordered;30000;992;387973;522295
CountingSort;reordered;30000;365;29999;182003
Qsort;reordered;30000;1162;433521;0
InsertionSort;random;30000;934257;449719350;674609044
QuickSort;random;30000;3260;601581;1075268
CountingSort;random;30000;336;30006;152020
Qsort;random;30000;4007;542865;0
InsertionSort;quasi;30000;35413;17061922;25622892
QuickSort;quasi;30000;2716;582523;937932
CountingSort;quasi;30000;705;30692;182461
Qsort;quasi;30000;3360;496378;0
InsertionSort;ordered;35000;222;69998;139996
QuickSort;ordered;35000;1187;485915;584579
CountingSort;ordered;35000;460;69998;212003
Qsort;ordered;35000;1425;525754;0
InsertionSort;reordered;35000;2557927;1224965000;1837552497
QuickSort;reordered;35000;1273;485927;654585
CountingSort;reordered;35000;437;34999;212003
Qsort;reordered;35000;1478;525754;0
InsertionSort;random;35000;1269486;610615510;915958292
QuickSort;random;35000;3811;706803;1268006
CountingSort;random;35000;412;35007;177025
Qsort;random;35000;4720;612228;0
InsertionSort;quasi;35000;41225;19875434;29848154
QuickSort;quasi;35000;3155;677984;1092595
CountingSort;quasi;35000;821;35812;212674
Qsort;quasi;35000;3928;585869;0
InsertionSort;ordered;40000;241;79998;159996
QuickSort;ordered;40000;1319;555915;664579
CountingSort;ordered;40000;497;79998;242003
Qsort;ordered;40000;1387;583110;0
InsertionSort;reordered;40000;3275361;1599960000;2400059997
QuickSort;reordered;40000;1420;555927;744585
CountingSort;reordered;40000;489;39999;242003
Qsort;reordered;40000;1535;583110;0
InsertionSort;random;40000;1645773;798793212;1198229837
QuickSort;random;40000;4427;808608;1460940
CountingSort;random;40000;423;40015;202029
Qsort;random;40000;5463;710959;0
InsertionSort;quasi;40000;46730;22753588;34170383
QuickSort;quasi;40000;3616;786256;1260883
CountingSort;quasi;40000;916;40944;242869
Qsort;quasi;40000;4421;678376;0
InsertionSort;ordered;45000;267;89998;179996
QuickSort;ordered;45000;1463;625915;744579
CountingSort;ordered;45000;557;89998;272003
Qsort;ordered;45000;1595;658520;0
InsertionSort;reordered;45000;4151709;2024955000;3037567497
QuickSort;reordered;45000;1588;625927;834585
CountingSort;reordered;45000;544;44999;272003
Qsort;reordered;45000;1668;658520;0
InsertionSort;random;45000;2074495;1010120004;1515225023
QuickSort;random;45000;5006;927947;1666722
CountingSort;random;45000;476;45005;227018
Qsort;random;45000;6152;811982;0
InsertionSort;quasi;45000;52960;25707242;38605866
QuickSort;quasi;45000;4173;895542;1429886
CountingSort;quasi;45000;1019;46065;272997
Qsort;quasi;45000;5145;768531;0
InsertionSort;ordered;50000;299;99998;199996
QuickSort;ordered;50000;1623;695915;824579
CountingSort;ordered;50000;624;99998;302003
Qsort;ordered;50000;1809;744369;0
InsertionSort;reordered;50000;5179211;2499950000;3750074997
QuickSort;reordered;50000;2277;695927;924585
CountingSort;reordered;50000;601;49999;302003
Qsort;reordered;50000;1900;744369;0
InsertionSort;random;50000;2557143;1250239954;1875409968
QuickSort;random;50000;5622;1030864;1859153
CountingSort;random;50000;521;50014;252037
Qsort;random;50000;6885;910609;0
InsertionSort;quasi;50000;58338;28476714;42765076
QuickSort;quasi;50000;4509;999980;1591432
CountingSort;quasi;50000;1152;51144;303036
Qsort;quasi;50000;5928;866512;0
